season,week,position,pool_n,repl_rank,repl_fwd3,pool_mean,decision_rank_before,decision_pts,repl_pctile
2018,13,RB,40,5,11.8333,5.2125,0.3667,5.1333,0.8750
2018,13,TE,47,2,7.9667,2.6475,4.2000,1.9333,0.9574
2018,13,WR,77,6,8.9333,3.6190,5.6667,3.7667,0.9221
2018,14,QB,23,2,19.3733,7.8342,12.9467,16.4067,0.9130
2018,14,RB,45,5,12.8333,5.0578,3.2000,7.2333,0.8889
2018,14,TE,52,2,11.7667,2.8795,17.9667,2.0667,0.9615
2018,14,WR,77,6,8.5667,3.2286,0.3667,2.5667,0.9221
2018,15,QB,17,2,22.4700,11.3176,2.5500,21.1100,0.8824
2018,15,RB,41,5,10.8000,4.1159,2.7000,4.5500,0.8780
2018,15,TE,49,2,15.9500,3.0633,0.6500,0.0000,0.9592
2018,15,WR,78,6,10.5500,3.4404,5.7000,5.1500,0.9231
2018,16,QB,22,2,26.1600,9.6173,3.7800,5.1000,0.9091
2018,16,RB,36,5,11.9000,4.0722,1.6000,-0.2000,0.8611
2018,16,TE,49,2,14.3000,3.1673,0.0000,4.6000,0.9592
2018,16,WR,80,6,13.5000,3.9487,6.5000,1.2000,0.9250
2019,2,QB,18,2,16.6867,9.0083,13.4733,11.6733,0.8889
2019,2,RB,39,5,11.0667,4.8816,4.5000,11.0667,0.8718
2019,2,TE,51,2,11.3667,3.6026,2.8000,7.1000,0.9608
2019,2,WR,82,6,9.1000,3.2697,2.3667,10.2000,0.9268
2019,3,QB,16,2,17.7400,9.0092,11.0800,10.7667,0.8750
2019,3,RB,35,5,7.3500,3.4548,5.4667,3.4333,0.8571
2019,3,TE,53,2,10.3667,3.7014,9.6333,10.3667,0.9623
2019,3,WR,76,6,8.1667,2.6235,5.0667,5.8500,0.9211
2019,4,QB,15,2,20.2667,9.4093,25.6933,4.6200,0.8667
2019,4,RB,29,5,6.6500,3.5671,1.3500,2.4000,0.8276
2019,4,TE,45,2,9.1000,3.7942,2.3000,12.8333,0.9556
2019,4,WR,71,6,7.5667,2.3453,3.3500,14.0500,0.9155
2019,5,QB,16,2,15.5100,7.1712,14.6133,10.3867,0.8750
2019,5,RB,37,5,5.4500,2.5806,1.2500,1.8333,0.8649
2019,5,TE,52,2,11.9667,3.5317,6.5667,4.2333,0.9615
2019,5,WR,64,6,8.4500,2.9427,1.0500,3.3333,0.9062
2019,6,QB,11,2,16.8000,10.1736,16.8000,7.6000,0.8182
2019,6,RB,29,5,4.2000,2.3017,7.7667,2.2333,0.8276
2019,6,TE,42,2,12.2333,4.1448,9.1500,3.1000,0.9524
2019,6,WR,64,6,6.0667,2.5568,5.6333,15.1000,0.9062
2019,7,QB,14,2,18.6933,10.6926,17.3000,20.4667,0.8571
2019,7,RB,32,5,4.1500,2.7448,1.4000,3.5000,0.8438
