scheme,season,week,arm,n,mean_fwd3,mean_vs_pos,week_ceiling,min_span
wf_plus_pts,2025,7,repo,3,15.5011,8.3307,27.5100,2
wf_plus_pts,2025,8,naive,3,10.6600,7.1327,20.2800,2
wf_plus_pts,2025,8,repo,3,10.9767,7.4494,20.2800,2
wf_plus_pts,2025,9,naive,3,10.0022,4.0577,20.6333,2
wf_plus_pts,2025,9,repo,3,8.2000,5.6803,20.6333,3
wf_plus_pts,2025,10,naive,3,8.8867,3.5748,20.8733,3
wf_plus_pts,2025,10,repo,3,7.3244,3.3224,20.8733,3
wf_plus_pts,2025,11,naive,3,10.7722,6.5403,19.1200,2
wf_plus_pts,2025,11,repo,3,6.5056,4.2580,19.1200,2
wf_plus_pts,2025,12,naive,3,6.8022,0.9833,21.6600,2
wf_plus_pts,2025,12,repo,3,4.2667,0.2643,21.6600,3
wf_plus_pts,2025,13,naive,3,7.6922,0.4931,28.5500,2
wf_plus_pts,2025,13,repo,3,11.2867,6.4021,28.5500,3
wf_plus_pts,2025,14,naive,3,15.1200,8.2415,19.0400,3
wf_plus_pts,2025,14,repo,3,9.5356,6.1377,19.0400,3
wf_plus_pts,2025,15,naive,3,12.9911,6.1168,24.3333,3
wf_plus_pts,2025,15,repo,3,4.4556,1.9991,24.3333,3
wf_plus_pts,2025,16,naive,3,18.3100,9.7978,21.8400,2
wf_plus_pts,2025,16,repo,3,14.5733,9.7744,21.8400,2
wf_plus_pts,2025,17,naive,3,8.9800,2.1526,24.4000,1
wf_plus_pts,2025,17,repo,3,10.1133,4.5687,24.4000,1
loso,2022,2,naive,3,6.5711,-0.4349,19.9600,3
loso,2022,2,repo,3,11.2467,4.2407,19.9600,3
loso,2022,3,naive,3,7.5444,4.2444,22.8000,2
loso,2022,3,repo,3,7.9444,4.3541,22.8000,3
loso,2022,4,naive,3,7.7600,-0.0458,20.5000,3
loso,2022,4,repo,3,11.9533,6.6748,20.5000,3
loso,2022,5,naive,3,7.5556,4.5581,22.6000,3
loso,2022,5,repo,3,14.5822,6.9474,22.6000,2
loso,2022,6,naive,3,2.1800,-1.8979,30.7067,3
loso,2022,6,repo,3,9.3656,3.7778,30.7067,2
loso,2022,7,naive,3,9.1356,3.9178,22.3000,3
loso,2022,7,repo,3,4.5000,-0.2560,22.3000,2
loso,2022,8,naive,3,15.0800,10.4335,23.7400,2
loso,2022,8,repo,3,7.2056,4.5923,23.7400,2
loso,2022,9,naive,3,5.5989,1.8878,22.9333,2
loso,2022,9,repo,3,10.0022,6.2912,22.9333,3
loso,2022,10,naive,3,11.2667,7.0622,20.3333,3
loso,2022,10,repo,3,11.4689,6.0771,20.3333,3
loso,2022,11,naive,3,11.5089,5.9020,15.4667,2
loso,2022,11,repo,3,6.5333,3.7091,15.4667,3
loso,2022,12,naive,3,8.7733,2.0848,20.5933,3
loso,2022,12,repo,3,6.2444,1.7167,20.5933,2
loso,2022,13,naive,3,14.7722,10.6610,20.6267,2
loso,2022,13,repo,3,8.3844,4.4298,20.6267,3
loso,2022,14,naive,3,11.1000,7.4106,20.8667,3
loso,2022,14,repo,3,3.5933,-1.7305,20.8667,3
loso,2022,15,naive,3,8.4067,2.4775,17.6133,3
loso,2022,15,repo,3,5.4133,1.3813,17.6133,3
loso,2022,16,naive,3,5.5100,1.8105,19.7300,2
loso,2022,16,repo,3,6.2867,1.8150,19.7300,2
loso,2022,17,naive,3,10.7600,4.9490,25.0000,1
loso,2022,17,repo,3,9.3733,5.7073,25.0000,1
loso,2023,2,naive,3,15.0244,4.4795,31.9333,3
loso,2023,2,repo,3,9.7389,5.7283,31.9333,2
loso,2023,3,naive,3,11.3111,5.0626,21.9333,3
loso,2023,3,repo,3,10.4444,6.0308,21.9333,2
loso,2023,4,naive,3,10.6156,3.8431,18.6800,3
loso,2023,4,repo,3,13.5689,8.0101,18.6800,3
loso,2023,5,naive,3,14.5500,9.2588,20.7100,2
loso,2023,5,repo,3,7.9556,5.5688,20.7100,2
loso,2023,6,naive,3,16.9900,10.0118,28.2100,2
loso,2023,6,repo,3,8.3167,5.7931,28.2100,2
loso,2023,7,naive,3,8.3000,2.6239,17.2667,3
loso,2023,7,repo,3,11.4356,7.9888,17.2667,3
loso,2023,8,naive,3,17.8311,10.5870,27.4600,3
loso,2023,8,repo,3,8.4933,4.3076,27.4600,3
loso,2023,9,naive,3,7.1689,4.2384,15.4400,3
loso,2023,9,repo,3,7.6533,4.7229,15.4400,2
loso,2023,10,naive,3,7.9444,4.1514,17.9667,3
loso,2023,10,repo,3,2.6556,0.0281,17.9667,3
loso,2023,11,naive,3,15.8667,6.8167,23.3267,2
loso,2023,11,repo,3,6.7100,2.3496,23.3267,2
loso,2023,12,naive,3,13.3500,6.5231,22.9400,2
loso,2023,12,repo,3,7.2833,4.5519,22.9400,2
loso,2023,13,naive,3,13.2978,7.1309,20.6733,3
loso,2023,13,repo,3,9.1200,2.9224,20.6733,3
loso,2023,14,naive,3,10.8778,3.0072,21.4467,3
loso,2023,14,repo,3,5.1600,0.8948,21.4467,3
loso,2023,15,naive,3,8.9889,4.9135,20.6200,3
loso,2023,15,repo,3,6.4200,0.7496,20.6200,3
loso,2023,16,naive,3,13.9267,4.8204,20.7300,2
loso,2023,16,repo,3,8.6167,6.1500,20.7300,2
loso,2023,17,naive,3,8.2600,1.9478,20.8000,1
loso,2023,17,repo,3,8.8000,4.7342,20.8000,1
loso,2024,2,naive,3,6.7222,3.4821,25.1400,3
loso,2024,2,repo,3,12.8889,9.7615,25.1400,3
loso,2024,3,naive,3,8.1644,1.9099,25.8900,3
loso,2024,3,repo,3,6.0489,1.2171,25.8900,2
loso,2024,4,naive,3,15.6589,7.3417,26.1000,2
loso,2024,4,repo,3,13.1878,7.2301,26.1000,2
loso,2024,5,naive,3,13.3167,5.4233,21.5200,2
loso,2024,5,repo,3,14.5278,10.9467,21.5200,2
loso,2024,6,naive,3,9.5400,5.6809,19.4333,3
loso,2024,6,repo,3,4.1011,0.2337,19.4333,2
loso,2024,7,naive,3,12.0533,7.7313,21.1000,2
loso,2024,7,repo,3,12.7244,7.9896,21.1000,2
loso,2024,8,naive,3,17.0122,9.9165,21.5067,2
loso,2024,8,repo,3,1.9556,0.1730,21.5067,2
loso,2024,9,naive,3,15.6889,4.4100,24.2600,2
loso,2024,9,repo,3,17.4556,9.3243,24.2600,2
loso,2024,10,naive,3,15.2522,6.9912,25.7333,2
loso,2024,10,repo,3,5.4511,0.4175,25.7333,3
