overall_rank,pos_rank,player_display_name,position,team,season,week,score,score_lo,score_hi,proj_pts,proj_pts_lo,proj_pts_hi,snap,snap_jump,targets,tgt_share,eb_tgt_share,carries,carry_share,eb_car_share,receptions,air_yards_share,wopr_opp,kal_role,cusum,pts,pts_lag1,cum_before,rank_before,conformal_half_width,model_coverage
58,16,Ronnie Bell,WR,NO,2025,18,0.5857,0.2966,0.8748,1.9667,0.1090,6.4667,0.5300,0.4900,4,0.2000,0.1057,0,0.0000,0.0047,2,0.2776,10.0000,0.3340,0.0000,9.3000,0.0000,0.0000,116.0000,0.2891,0.7978
59,10,Hunter Luepke,RB,DAL,2025,18,0.5852,0.2823,0.8881,1.5453,0.0667,6.4983,0.2400,-0.0000,1,0.0435,0.0318,2,0.0769,0.0428,1,-0.0337,4.5000,0.2498,1.2400,2.1000,4.9000,28.4000,50.0000,0.3029,0.8092
60,11,DJ Giddens,RB,IND,2025,18,0.5839,0.2810,0.8868,1.5158,0.0667,6.3822,0.3100,0.1700,0,0.0000,0.0234,8,0.2857,0.1733,0,0.0000,8.0000,0.2255,1.6509,3.0000,2.2000,6.6000,68.0000,0.3029,0.8092
61,17,Tahj Washington,WR,MIA,2025,18,0.5817,0.2926,0.8708,1.9333,0.0667,6.3333,0.3800,0.2400,3,0.1875,0.1048,0,0.0000,0.0033,2,0.4250,7.5000,0.2840,0.0000,3.6000,-0.4000,-0.4000,127.0000,0.2891,0.7978
62,23,Eric Saubert,TE,SEA,2025,18,0.5792,0.2936,0.8647,2.6333,0.6333,7.0395,0.7000,0.2500,3,0.1154,0.0341,0,0.0000,0.0001,2,0.0000,7.5000,0.5751,3.8945,3.0000,0.0000,6.1000,57.0000,0.2856,0.8300
63,24,Julian Hill,TE,MIA,2025,18,0.5785,0.2930,0.8641,2.6333,0.6333,7.0333,0.6100,0.1000,1,0.0625,0.0752,0,0.0000,0.0001,1,0.0063,2.5000,0.5749,0.2001,1.8000,2.6000,29.2000,39.0000,0.2856,0.8300
64,12,Kene Nwangwu,RB,NYJ,2025,18,0.5784,0.2755,0.8812,1.4667,0.0667,6.1500,0.3300,0.2400,1,0.0625,0.0098,7,0.3043,0.0519,0,-0.0822,9.5000,0.2101,4.6697,1.8000,3.1000,9.1000,63.0000,0.3029,0.8092
65,12,Josh Johnson,QB,WAS,2025,18,0.5753,0.2613,0.8894,10.0382,0.0334,18.5343,1.0000,0.3050,0,0.0000,0.0003,9,0.3913,0.2267,0,0.0000,9.0000,0.8819,0.0000,15.7400,8.9200,8.6400,29.0000,0.3140,0.7937
66,13,Corey Kiner,RB,ARI,2025,18,0.5725,0.2697,0.8754,1.4000,0.0477,5.9692,0.2500,0.1500,3,0.1071,0.0287,3,0.2000,0.1738,2,0.0438,10.5000,0.1669,2.0641,3.8000,0.2000,4.5000,72.0000,0.3029,0.8092
67,25,Sal Cannella,TE,CLE,2025,18,0.5721,0.2865,0.8576,2.5333,0.6000,6.8467,0.2100,-0.1400,1,0.0476,0.1131,0,0.0000,0.0004,0,0.1888,2.5000,0.2660,0.0000,0.0000,3.1000,3.1000,60.0000,0.2856,0.8300
